sentence1,sentence2,human_score,cosine_similarity
A girl is styling her hair.,A girl is brushing her hair.,0.5,0.8855610872447668
A group of men play soccer on the beach.,A group of boys are playing soccer on the beach.,0.7199999809265136,0.9473243908640134
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,1.0,0.9932732667302127
A man is cutting up a cucumber.,A man is slicing a cucumber.,0.8399999618530274,0.9852514362787568
A man is playing a harp.,A man is playing a keyboard.,0.3,0.8450692844986506
A woman is cutting onions.,A woman is cutting tofu.,0.3599999904632568,0.853172700389587
A man is riding an electric bicycle.,A man is riding a bicycle.,0.7,0.9236932916791929
A man is playing the drums.,A man is playing the guitar.,0.4400000095367432,0.8768820261361003
A man is playing guitar.,A lady is playing the guitar.,0.4400000095367432,0.8819687724073774
A man is playing a guitar.,A man is playing a trumpet.,0.3427999973297119,0.8474935899056419
A man is playing a guitar.,A man is playing a trumpet.,0.3427999973297119,0.8474935899056419
A man is cutting an onion.,A man cuts an onion.,1.0,0.9937030217220368
A man is cycling.,A man is talking.,0.12000000476837158,0.789331504270105
A man is slicing open a fish.,A man is cutting up a fish.,0.8800000190734864,0.9772276513882223
A man is slicing a tomato.,A man is slicing a bun.,0.4,0.8484750944054374
A man is playing a guitar.,A man is playing a keyboard.,0.3599999904632568,0.8827378644453324
A baby panda goes down a slide.,A panda slides down a slide.,0.8800000190734864,0.9644652744743655
A man is singing and playing a guitar.,A man is playing a guitar.,0.7199999809265136,0.9505960907000082
A man attacks a woman.,A man slaps a woman.,0.7199999809265136,0.8705879616992711
A man is driving a car.,A man is riding a horse.,0.24000000953674316,0.8148247960153082
A woman is cutting tofu.,A woman is cutting an onion.,0.48000001907348633,0.8596072387314818
The woman is styling her hair.,The woman is slicing herbs.,0.04000000059604645,0.7949875539356325
Two zebras play in an open field.,Two zebras are playing in a field.,0.8399999618530274,0.9873492010448202
A man is cutting a potato.,A man is slicing some potato.,0.8800000190734864,0.9785357611135588
A man is slicing an onion.,A woman is slicing a pumpkin.,0.45,0.8113341962177514
A  man is dancing.,A man and woman is dancing.,0.4,0.9123892112118531
A man is riding a motorcycle.,A woman is riding a horse.,0.15,0.7818913517158128
A woman is slicing garlics.,A woman is slicing an onion.,0.4400000095367432,0.9174025346816939
A man is speaking.,A man is cooking.,0.1600000023841858,0.8130160165524654
A little boy is singing and playing a guitar.,A man is singing and playing the guitar.,0.4400000095367432,0.8835506653650682
